"course_id","operator","requisite_course_id_1","requisite_course_id_2"
"EE BIOL 194B","OR","Ecology and Evolutionary Biology 198A","Ecology and Evolutionary Biology 198B"
"ENGL 164C","AND","ENGL 10B",""
"POL SCI 188SB","AND","HNRS 101E",""
"CHEM 14B","OR","MATH 3B","MATH 31B"
"WL ARTS C182","AND","WL ARTS 104",""
"COMM ST 112","OR","COMM ST 120","COMM ST 126"
"ENGCOMP 3","OR","ENGCOMP 2I","Satisfaction on Entry-Level Writing Requirement"
"MCD BIO 199B","AND","LIFESCI 3",""
"PHYSICS 87","AND","CHEM 20A",""
"HNRS 87W","AND","ENGCOMP 3",""
"EE BIOL 170","OR","MATH 3C","MATH 32A"
"EE BIOL C234","AND","LIFESCI 1",""
"PHYSICS 4BL","OR","PHYSICS 1B","PHYSICS 1BH"
"PHYSICS 1BH","AND","MATH 32B",""
"ETHNMUS 71BW","AND","ETHNMUS 71BF",""
"C&EE 156B","AND","CHEM 20B",""
"PSYCH 196A","OR","PSYCH 194B","PSYCH 194C"
"MOL TOX M242","AND","ENV HLT C240",""
"DESMA 154","OR","Design / Media Arts 101","Design / Media Arts 104"
"PHYSCI 167","AND","CHEM 30B",""
"MUSC 119B","AND","MUSC 20B",""
"GEOG 145","OR","GENDER 10","SOCIOL 1"
"PSYCH 131","AND","PSYCH 130",""
"PSYCH 134B","AND","PSYCH 133X",""
"ENGL 180","AND","ENGL 10A",""
"MATH 151A","AND","COMPTNG 10A",""
"DESMA 252B","AND","Design / Media Arts 252A",""
"PHYSICS 87","AND","PHYSICS 6A",""
"CHEM 14B","OR","MATH 31B","LIFESCI 30B"
"MIMG 101","AND","LIFESCI 4",""
"ECON 122","AND","ECON 102",""
"COMM ST 100","OR","LING 1","SOCIOL 1"
"ETHNMUS 171DW","AND","ETHNMUS 171DF",""
"PHYSICS 1BH","AND","MATH 31B",""
"PHILOS 22W","OR","ENGCOMP 3","English as A Second Language 36"
"PSYCH 135","AND","PSYCH 100A",""
"EDUC M182A","AND","EDUC M194A",""
"CHEM 153B","AND","LIFESCI 2",""
"NURSING 150B","AND","NURSING 150A",""
"PHYSICS 1BH","AND","MATH 32A",""
"CHEM C115B","AND","MATH 31A",""
"MC&IP M262B","AND","MC&IP M262A",""
"MCD BIO M175B","AND","LIFESCI 3",""
"EPIDEM 200B","AND","BIOSTAT 100B",""
"FILM TV C152C","AND","FILM TV 101A",""
"C&EE 108","AND","MATH 32B",""
"THEATER C104I","AND","THEATER 14A",""
"ART 137","AND","ART 11D",""
"PHYSCI 120","AND","PHYSCI 111A",""
"EPIDEM 188SB","AND","HNRS 101E",""
"ECON 11","AND","ECON 2",""
"PHYSCI 138","AND","PHYSCI 111B",""
"ETHNMUS 71AW","AND","ETHNMUS 71AF",""
"PSYCH M117B","AND","LIFESCI 4",""
"PHYSICS 87","AND","PHYSICS 1C",""
"GEOG 145","OR","ANTHRO 9","GENDER 10"
"MUSC 106B","AND","MUSC 106A",""
"MATH 32B","AND","MATH 31B",""
"ENGL 120","AND","ENGL 10B",""
"NURSING 216A","AND","NURSING 224",""
"MAT SCI 111","AND","MAT SCI 104",""
"NEUROSC M101B","AND","LIFESCI 4",""
"BIOENGR 180","AND","BIOENGR 110",""
"CHIN 101B","OR","CHIN 100C","CHIN 100I"
"LING M141","AND","LING 20",""
"PSYCH 126","AND","PSYCH 10",""
"CHEM C115B","AND","MATH 33A",""
"ETHNMUS 171BW","AND","ETHNMUS 171BF",""
