"course_id","operator","requisite_course_id_1","requisite_course_id_2"
"MCD BIO 193","OR","MCD BIO 198C","MCD BIO 199A"
"NURSING 467","AND","NURSING 461",""
"CHEM 14A","OR","MATH 31A","LIFESCI 30A"
"PSYCH 401","AND","PSYCH 271A",""
"CHIN 110B","AND","CHIN 110A",""
"ENV HLT C185C","OR","ENV HLT C185A","ENV HLT C185B"
"COM HLT M252","AND","HLT POL M236",""
"LING 165A","AND","LING 120A",""
"PHYSCI M180B","AND","LIFESCI 4",""
"EE BIOL 100","AND","LIFESCI 1",""
"LIFESCI 4","OR","CHEM 14C","CHEM 30A"
"PHYSICS 6B","OR","PHYSICS 6A","PHYSICS 6AH"
"ECON M135","AND","ECON 11",""
"EE BIOL 151B","AND","Ecology and Evolutionary Biology 100",""
"PHYSICS 4BL","OR","PHYSICS 1A","PHYSICS 1AH"
"EE BIOL 194B","OR","Ecology and Evolutionary Biology 198C","Ecology and Evolutionary Biology 198D"
"MIMG 180A","AND","MIMG 196A",""
"ITALIAN 2","AND","ITALIAN 1",""
"MUSC 106B","AND","MUSC 123C",""
"NURSING 216A","AND","NURSING 200",""
"SPAN 150","AND","SPAN 25",""
"PHYSCI C127","AND","PHYSCI 111B",""
"EE BIOL 153","AND","CHEM 20B",""
"FILM TV 410E","AND","FILM TV 410A",""
"MIMG 10","OR","MATH 3A","MATH 31A"
"MATH 116","AND","MATH 115A",""
"EDUC M194A","OR","EDUC M182A","EDUC M183A"
"PSYCH M119O","AND","PSYCH 115",""
"EE BIOL C242","OR","MATH 3C","MATH 32A"
"ETHNMUS 71EW","AND","ETHNMUS 71EF",""
"GEOG 174","AND","GEOG 172",""
"ECON 107","AND","ECON 102",""
"MECH&AE 154A","AND","MECH&AE 154S",""
"MATH 33AH","OR","MATH 31B","MATH 32A"
"NURSING 171","AND","NURSING 462",""
"NURSING 171","AND","NURSING 164",""
"A&O SCI 145","AND","PHYSICS 1B",""
"MATH 172B","AND","MATH 170A",""
"NURSING 264","OR","NURSING 418A","NURSING 438A"
"LING 185A","AND","LING 180",""
"EPS SCI 136A","AND","MATH 3A",""
"COM SCI 144","AND","COM SCI 143",""
"THEATER 180","AND","THEATER 101C",""
"GEOG 169","AND","GEOG 7",""
"MATH 171","AND","MATH 33A",""
"MUSC 119B","AND","MUSC 110A",""
"COMPTNG 20A","AND","COMPTNG 10A",""
"EL ENGR 101B","AND","EL ENGR 101A",""
"CHEM 114","AND","CHEM 110A",""
"VIETMSE 2A","AND","VIETMSE 1A",""
"ASTR 115","AND","PHYSICS 1C",""
"PSYCH 131","AND","PSYCH 100B",""
"CHEM 110A","AND","PHYSICS 1A",""
"PSYCH 150","AND","PSYCH 10",""
"MATH 33A","OR","MATH 32A","MATH 3B"
"ETHNMUS 171IW","AND","ETHNMUS 171IF",""
"MATH 106","AND","MATH 31B",""
"EPS SCI C162","AND","Earth and Space Sciences 150",""
"ASIA AM 30W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"MGMT 122","AND","MGMT 1B",""
"ENGL 4HW","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"MATH 131B","AND","MATH 33B",""
"BIOINFO M260B","OR","BIOSTAT 100A","BIOSTAT 110A"
"KOREA 104B","AND","KOREA 101C",""
"FILM TV 434","AND","FILM TV 431",""
"CHEM 14BL","AND","CHEM 14A",""
"STATS 101B","AND","STATS 101A",""
"STATS M171","OR","STATS 10","STATS 11"
"EE BIOL C126","AND","LIFESCI 1",""
"EDUC M190SL","AND","EDUC M190",""
"PSYCH 401","AND","PSYCH 271B",""
"ENGL 110A","AND","ENGL 10A",""
"MATH 142","AND","MATH 32B",""
"MECH&AE 154B","AND","MECH&AE 154A",""
"ARCH&UD M272","AND","URBN PL 220B",""
"PSYCH 124C","OR","PSYCH 120A","PSYCH 120B"
"EE BIOL 110","AND","LIFESCI 4",""
"EL ENGR 131A","AND","MATH 32B",""
"PSYCTRY M284B","AND","PSYCTRY M284A",""
"BIOENGR CM186","AND","EL ENGR 102",""
"MECH&AE 150A","AND","MECH&AE 82",""
"IL AMER 18B","AND","Indigenous Languages of the Americas 18A",""
"FILM TV 154","AND","FILM TV 101A",""
"SPAN 120","AND","SPAN 25",""
"ECON 103","AND","ECON 11",""
"ASIAN M60W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"COM SCI 161","AND","COM SCI 180",""
"STATS 102B","AND","STATS 100B",""
"KOREA 5","AND","KOREA 4",""
"ENGL 184","AND","ENGL 10A",""
"PSYCH 116","AND","PSYCH 100B",""
"BIOENGR C171","AND","BIOENGR C170",""
"NURSING 467","AND","NURSING 465D",""
"ECON 181","AND","ECON 11",""
"MCD BIO M175B","AND","LIFESCI 4",""
"MATH 33B","AND","MATH 31B",""
"MCD BIO 138","AND","LIFESCI 3",""
"MCD BIO 198B","AND","LIFESCI 4",""
"PHYSICS 1B","AND","PHYSICS 1A",""
"MATH 32B","AND","MATH 32A",""
"PHYSICS 87","AND","MATH 3A",""
"NURSING 208","AND","NURSING 207",""
"PHYSICS 17","AND","PHYSICS 1A",""
"BIOSTAT 200B","AND","BIOSTAT 200A",""
"ART HIS 127A","AND","ART HIS 22",""
"THEATER C152B","AND","THEATER 14B",""
"PHYSICS 4AL","AND","PHYSICS 1A",""
"CHEM 113A","AND","PHYSICS 6C",""
"MECH&AE 157","AND","MECH&AE 105A",""
"A&O SCI C170","AND","PHYSICS 1C",""
"GREEK 100","AND","GREEK 20",""
"ENGL 142","AND","ENGL 10A",""
"MATH 170B","AND","MATH 170A",""
"IRANIAN 141","AND","IRANIAN 102C",""
"MATH 3C","AND","MATH 3B",""
"EL ENGR 115B","AND","EL ENGR 115A",""
"DIS STD 199A","OR","DIS STD 101","DIS STD 101W"
"ECON 11","AND","MATH 31B",""
"C&S BIO M185","AND","MATH 32B",""
"MCD BIO 180A","AND","MCD BIO 196A",""
"EPS SCI 136A","AND","PHYSICS 4AL",""
"PSYCH 136A","AND","PSYCH 100A",""
"MCD BIO 150AL","AND","MCD BIO C150",""
"CHEM CM160B","OR","MATH 170A","STATS 100A"
"ART HIS C116A","AND","ART HIS 21",""
"NURSING 465A","AND","NURSING 254B",""
"BMD RES 194H","AND","BMD RES 193H",""
"EPIDEM 412","OR","EPIDEM 100","EPIDEM 200A"
"MUSC 110B","AND","MUSC 20C",""
"ITALIAN 5","AND","ITALIAN 4",""
"DANCE 67A","AND","DANCE 16",""
"C&EE 130L","AND","C&EE 130",""
"EL ENGR 101A","OR","MATH 32B","MATH 33A"
"PHYSICS 4BL","OR","PHYSICS 1C","PHYSICS 1CH"
"EL ENGR 132B","AND","EL ENGR 131A",""
"ENGL 181C","AND","ENGL 10B",""
"PSYCTRY 188SB","AND","PSYCTRY 188SA",""
"CHEM CM160B","OR","STATS 100A","C&EE 110"
"COM SCI CM122","OR","COM SCI 32","COMPTNG 10C"
"BIOINFO M260B","OR","STATS 100A","C&EE 110"
"PSYCH 112D","AND","PSYCH 110",""
"NEUROSC C177","AND","NEUROSC M101A",""
"NURSING 445","AND","NURSING 245",""
"CHEM 110A","AND","PHYSICS 6C",""
"SOC GEN 188SB","AND","SOC GEN 188SA",""
"MECH&AE 156A","AND","MECH&AE 96",""
"NEUROSC 101L","AND","NEUROSC M101A",""
"CHEM CM160B","OR","BIOSTAT 100A","BIOSTAT 110A"
"CHICANO M5B","AND","CHICANO M5A",""
"BIOMATH 266A","AND","BIOMATH 170A",""
"INF STD 291B","AND","INF STD 291A",""
"STATS M171","OR","STATS 13","STATS 14"
"EE BIOL 194B","OR","Ecology and Evolutionary Biology 198B","Ecology and Evolutionary Biology 198C"
"CHEM C215B","AND","MATH 33A",""
"ENGL 4W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"PHYSCI 167","AND","CHEM 14C",""
"STATS 188SB","AND","HNRS 101E",""
"ECON 131","AND","ECON 103",""
"COM SCI 131","AND","COM SCI 33",""
"ETHNMUS 183","AND","ETHNMUS 10C",""
"CHEM 113A","AND","MATH 32A",""
"POL SCI 140B","AND","POL SCI 40",""
"EL ENGR 115AL","OR","EL ENGR 110L","EL ENGR 111L"
"PSYCH 112C","AND","NEUROSC M101C",""
"A&O SCI C170","AND","MATH 33A",""
"STATS 203","AND","STATS 200B",""
"SPAN M165SL","OR","SPAN 25","SPAN 27"
"FILM TV 201B","AND","FILM TV 201A",""
"MECH&AE 105D","AND","MECH&AE 103",""
"MCD BIO M175B","OR","PSYCH 115","PHYSCI 111A"
"FILM TV 1B","AND","FILM TV 1A",""
"EL ENGR 183DA","AND","EL ENGR 115A",""
"ENGL 110A","OR","ENGL 4W","ENGL 4HW"
"COM HLT M249L","AND","HLT POL 200B",""
"PSYCH 186B","AND","COMPTNG 10A",""
"CHEM 110A","OR","PHYSICS 1C","PHYSICS 1AH"
"ENGL 121","AND","ENGL 10A",""
"MECH&AE 133A","AND","MECH&AE 103",""
"COM SCI 181","AND","COM SCI 180",""
"CHEM 14CL","AND","CHEM 14C",""
"CHEM 14A","OR","LIFESCI 30A","Math Diagnostic Test"
"JAPAN 154","OR","COM LIT 1C","COM LIT 1D"
"ARABIC 1B","AND","ARABIC 1A",""
"EPS SCI 112","AND","Earth and Space Sciences 1",""
"EL ENGR 110","AND","EL ENGR 111L",""
"ECON 106EL","AND","ECON 101",""
"ENV HLT 261","AND","CHEM 20B",""
"ENGL 170C","AND","ENGL 10B",""
"ENGCOMP 2I","OR","ENGCOMP 1B","Demonstrated Proficiency on Analytical Writing Placement Exam or English as a Second Language Placement Exam"
"MATH 3B","AND","MATH 3A",""
"THEATER 174D","AND","THEATER 174A",""
"MIMG 185A","AND","CHEM 153A",""
"MCD BIO CM156","AND","LIFESCI 4",""
"THEATER 180","AND","THEATER 101B",""
"CH ENGR 108A","AND","CH ENGR 104A",""
"JAPAN 101B","OR","JAPAN 100C","JAPAN 100S"
"MAT SCI 104","AND","CHEM 20B",""
"MCD BIO 104AL","AND","LIFESCI 23L",""
"BIOENGR 180","AND","BIOENGR 120",""
"CHEM 153B","AND","LIFESCI 23L",""
"PHYSCI 120","AND","PHYSCI 111B",""
"ENV HLT 261","AND","ENV HLT C200B",""
"POL SCI M105","OR","POL SCI 30","POL SCI 40"
"MATH 173B","AND","MATH 173A",""
"MATH 155","AND","MATH 32B",""
"BMD RES 188SB","AND","HNRS 101E",""
"FILM TV 410E","AND","FILM TV 409",""
"ENGL 173A","AND","ENGL 10A",""
"MATH 120A","AND","MATH 32B",""
"COM SCI CM186","AND","EL ENGR 102",""
"CHEM CM260B","OR","BIOSTAT 110A","MATH 170A"
"MAT SCI 104","AND","CHEM 20A",""
"ENGL 140A","AND","ENGL 10A",""
"PHYSCI M180B","AND","LIFESCI 3",""
"CHEM CM260B","OR","MATH 170A","STATS 100A"
"MGMT 240F","AND","MGMT 410",""
"CHEM 30BL","AND","CHEM 30A",""
"PHYSICS 1A","AND","MATH 32A",""
