"class_name","class_rating","professor_name","overall","easiness","workload","clarity","helpfulness"
"ANTHRO M155Q","3.6","Deborah Mindry","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 135C","3.5","Mariko Tamanoi","3.5","1.3","2.0","3.3","3.0"
"ANTHRO 156","3.5","Aomar Boum","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 156","3.5","D Milne","5.0","3.0","5.0","5.0","5.0"
"ANTHRO 156","3.5","Cynthia Strathmann","4.5","2.0","2.7","4.7","4.5"
"ANTHRO 156","3.5","Louise Tallen","2.3","1.7","1.7","3.0","2.7"
"ANTHRO 156","3.5","C Throop","N/A","N/A","N/A","N/A","N/A"
"ANTHRO M155","3.5","Mariko Tamanoi","3.5","1.5","1.5","3.8","3.5"
"ANTHRO M171P","3.5","Aomar Boum","N/A","N/A","N/A","N/A","N/A"
"ANTHRO M171P","3.5","Susan Slyomovics","3.5","2.0","2.0","3.2","2.8"
"ANTHRO 121C","3.4","Kennedy Gail","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 121C","3.4","Gail Kennedy","3.4","1.2","1.8","3.8","3.8"
"ANTHRO 125A","3.4","Joan Silk","3.4","2.0","1.4","4.0","3.4"
"ANTHRO 133P","3.4","Akhil Gupta","3.5","2.0","1.2","3.8","3.5"
"ANTHRO 133P","3.4","Susan Slyomovics","3.3","1.7","2.5","3.7","2.7"
"ANTHRO 133S","3.4","Akhil Gupta","3.4","1.4","1.6","3.4","3.6"
"ANTHRO 177","3.4","C Throop","3.3","3.5","3.5","3.5","3.3"
"ANTHRO 177","3.4","Alexei Vranich","3.5","2.5","2.5","3.8","4.2"
"ANTHRO 181","3.4","Sherry Ortner","3.4","1.2","1.4","2.8","2.6"
"ANTHRO 33","3.4","H Alim","3.8","2.8","2.0","3.0","3.8"
"ANTHRO 33","3.4","Jena Barchas Lichtenste","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 33","3.4","Niko Besnier","4.0","2.7","2.2","3.8","3.0"
"ANTHRO 33","3.4","Marta De gerdes","2.8","1.7","1.7","2.0","2.0"
"ANTHRO 33","3.4","Alessandro Duranti","2.7","2.3","2.7","2.5","3.5"
"ANTHRO 33","3.4","Begona Echeverria","3.6","1.3","2.0","3.3","3.1"
"ANTHRO 33","3.4","Wendy Fonarow","3.7","1.1","1.6","3.4","3.9"
"ANTHRO 33","3.4","Jennifer Jackson","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 33","3.4","Paul Kroskrity","2.7","2.3","2.3","3.5","3.5"
"ANTHRO 33","3.4","Frances Marti","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 118","3.3","Stephen Acabado","5.0","4.0","3.0","3.0","5.0"
"ANTHRO 118","3.3","Kathleen Cheetham","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 118","3.3","P Dematte","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 118","3.3","Kelly Fong","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 118","3.3","Catherine Haradon","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 118","3.3","G Kelly","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 118","3.3","Richard Lesure","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 118","3.3","Greg Schachner","3.0","2.0","2.4","3.6","3.2"
"ANTHRO 118","3.3","J Snead","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 118","3.3","Charles Stanish","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 12","3.3","Gail Kennedy","3.3","1.4","1.4","3.6","3.1"
"ANTHRO 175Q","3.3","Yunxiang Yan","3.3","2.0","2.6","3.4","4.0"
"ANTHRO 189","3.3","Gail Kennedy","3.3","1.0","1.3","3.5","3.7"
"ANTHRO 8","3.3","Stephen Acabado","3.2","1.9","1.8","2.5","3.5"
"ANTHRO 8","3.3","P. Brantingham","4.6","2.7","2.4","4.3","4.3"
"ANTHRO 8","3.3","G Kelly","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 8","3.3","Abigail Levine","2.2","2.0","1.8","1.5","2.2"
"ANTHRO 8","3.3","Scott Pletka","2.8","3.6","3.2","3.6","3.2"
"ANTHRO 8","3.3","Brooke Scelza","3.8","2.8","2.4","4.6","3.6"
"ANTHRO 8","3.3","Greg Schachner","3.6","3.2","3.4","4.1","3.9"
"ANTHRO 8","3.3","Monica Smith","2.9","2.1","2.1","3.2","3.2"
"ANTHRO 8","3.3","Charles Stanish","3.0","1.8","1.4","3.0","3.6"
"ANTHRO 8","3.3","C Throop","N/A","N/A","N/A","N/A","N/A"
"ANTHRO C144","3.3","Paul Kroskrity","3.3","2.3","1.8","3.0","3.2"
"ANTHRO M164","3.3","S Garner","N/A","N/A","N/A","N/A","N/A"
"ANTHRO M164","3.3","Maureen Mahon","4.0","2.5","2.7","3.8","4.2"
"ANTHRO M164","3.3","Worku Nida","2.7","3.0","3.5","2.3","2.5"
"ANTHRO 114P","3.2","Kathleen Cheetham","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 114P","3.2","Richard Lesure","3.2","1.7","1.7","3.3","3.5"
"ANTHRO 115P","3.2","Greg Schachner","3.2","3.0","2.5","3.5","3.7"
"ANTHRO 119P","3.2","Monica Smith","3.2","1.8","2.0","3.8","3.5"
"ANTHRO 124","3.2","Harold Barrett","3.6","1.4","1.6","3.3","3.6"
"ANTHRO 124","3.2","Joseph Manson","2.3","2.5","2.2","2.8","3.7"
"ANTHRO 124","3.2","Adam Wetsman","3.7","1.6","1.1","3.3","2.3"
