"course_id","similar_course_id","score"
"SOC WLF 100B","CHICANO 177","0.13986018454645077"
"SOC WLF 100B","SOC WLF M104C","0.10031795755832534"
"WL ARTS 188SB","GENDER 188SB","0.93364568223147004"
"WL ARTS 78","ETHNMUS 92","0.44210759559838941"
"WL ARTS 78","WL ARTS 178","0.17989276207608951"
"CH ENGR C112","MAT SCI 150","0.17963822050239553"
"FRNCH 130","FRNCH 121","0.63828892863162512"
"FRNCH 130","FRNCH 119","0.22736652207726377"
"FRNCH 130","FRNCH 120","0.18799408230815332"
"HIST 107C","ARMENIA 104B","0.12446845482915221"
"PHYSCI 149","PHYSCI 120","0.14645117512308617"
"PHYSCI 149","PHYSCI CM103","0.11950019239777464"
"ARMENIA 101B","ARMENIA 105B","0.79509325650233631"
"EDUC M103","ASIA AM M114","0.90464704218371927"
"EDUC M103","EDUC 187","0.22766089581386653"
"EL ENGR 132B","EL ENGR M117","0.15849814905023504"
"EL ENGR 132B","EL ENGR 180DA","0.11031926794485999"
"EL ENGR 132A","EL ENGR 180DA","0.15349921172755282"
"EL ENGR 132A","EL ENGR 132B","0.14937163732050443"
"EL ENGR 132A","EL ENGR 113DA","0.14102933064424319"
"EL ENGR 132A","EL ENGR M117","0.13364972306636155"
"ASIA AM 140SL","ASIA AM M119","0.45241953793279543"
"ASIA AM 140SL","LBR&WS M119","0.33021397797512492"
"ASIA AM 140SL","ASIA AM 187C","0.27969000614483019"
"ASIA AM 140SL","ASIA AM 103","0.16697259301389211"
"ASIA AM 140SL","AM IND C121","0.1217029469732292"
"ASIA AM 140SL","CHICANO M159B","0.11278470392405625"
"THEATER 15","THEATER 14B","0.10761542021063379"
"PSYCH 119J","PSYCH 119V","0.23715974986011654"
"PSYCH 119J","PSYCH 119C","0.1143992130026006"
"PSYCH 119J","PHYSICS C186","0.10569047921444612"
"SEMITIC 140B","DUTCH 103B","0.20201879210279355"
"DANCE 16","DANCE 44","0.13460997834446395"
"DANCE 10","DANCE 13","0.59698161156698548"
"DANCE 10","DANCE 11","0.51656320209292017"
"DANCE 10","DANCE 63","0.48232251241750973"
"DANCE 10","DANCE 59","0.42536227140664595"
"DANCE 10","DANCE 6","0.41227505530698039"
"DANCE 10","DANCE 56","0.34214851995329892"
"DANCE 11","DANCE 13","0.62079502054716862"
"DANCE 11","DANCE 10","0.51656320209292017"
"DANCE 11","DANCE 63","0.5162135975065385"
"DANCE 11","DANCE 6","0.50573928088408571"
"DANCE 11","DANCE 60","0.40398442746483476"
"DANCE 11","DANCE 59","0.39793807242729645"
"DANCE 13","DANCE 6","0.64462290310036063"
"DANCE 13","DANCE 11","0.62079502054716862"
"DANCE 13","DANCE 10","0.59698161156698548"
"DANCE 13","DANCE 56","0.47073908136719689"
"DANCE 13","DANCE 59","0.45411427758776624"
"DANCE 13","DANCE 60","0.45079846873395352"
"ENGL 170C","ENGL 173A","0.81981378531122329"
"ENGL 170C","ENGL 166B","0.26726626520263203"
"ENGL 170C","HIST 121E","0.21344290527148937"
"ENGL 170C","FRNCH 120","0.14353080217059"
"ENGL 170C","HIST 127C","0.14220297700156773"
"ENGL 170C","ENGL 177","0.13137679838054608"
"CHIN 5","CHIN 40","0.37751494594043339"
"CHIN 2","CHIN 40","0.38150908690743751"
"CHICANO M167SL","SPAN M165SL","0.98922380615586825"
"CHICANO M167SL","CHICANO 100SL","0.12088664911081437"
"CHICANO M167SL","ASIA AM 185","0.10539064109908612"
"CHICANO M167SL","CIVIC 133SL","0.10169096533378821"
"VIETMSE 2","VIETMSE 40","0.15335903929640352"
"VIETMSE 5","VIETMSE 40","0.17241139498093599"
"MATH 106","MATH 191","0.12862090635845602"
"SPAN 1","SPAN 7A","0.68595600893752928"
"SPAN 1","PORTGSE 2","0.57037734615154889"
"SPAN 1","SPAN 5","0.38547336788077968"
"SPAN 1","SPAN 4","0.38547336788077968"
"SPAN 1","SPAN 11A","0.10018128187612693"
"SOCIOL 145","SOCIOL 180B","0.1235239964802622"
"PSYCH 188SB","GENDER 188SB","0.65451186164840669"
"PSYCH 188SB","EPIDEM 188SB","0.45342208758072194"
"EL ENGR CM182","PUB PLC CM182","0.56631076683201909"
"THEATER C155E","THEATER C156A","0.29961382828922106"
"THEATER C155E","THEATER C155A","0.17950625828899947"
"THEATER C155E","THEATER C156F","0.13313713346276509"
"THEATER C155E","THEATER 128A","0.10628209317387217"
"THEATER C155E","DESMA 156","0.10575705770207801"
"ASIA AM M168","EDUC 143","0.12573407108945234"
"LING 1","LING 20","0.24522016092610713"
"COMM ST 170","COMM ST 185","0.26871067669204346"
"COMM ST 170","COMM ST 140","0.22832144614353397"
"COMM ST 170","COMM ST 109","0.21742676230609481"
"COMM ST 170","COMM ST 160","0.14164029126508029"
"COMM ST 170","COMM ST 158","0.13586600469200183"
"COMM ST 170","COMM ST 116","0.10877608642010234"
"COM SCI CM186","EL ENGR 141","0.10533968652297356"
"HIST 138C","HIST 111C","0.25984016352339867"
"HIST 138C","HIST 114B","0.19609390688169431"
"HIST 138C","HIST 154","0.16047033455010187"
"HIST 138C","HIST 136B","0.1221473705118616"
"HIST 138C","HIST 168B","0.11351891781729154"
"JAPAN 100B","JAPAN 105B","0.43017258029351102"
"JAPAN 100B","JAPAN CM160","0.27130337099996132"
"JAPAN 100B","JAPAN 174","0.22632603599497073"
"JAPAN 100B","JAPAN C159","0.13505830179831932"
