"class_id","lecture_id","class_type","section","course_id","title","major","major_code","term","days","start_time","end_time","location","instructor","url"
"186799204","186799200","DIS","1D","ENGR 183EW","Engineering and Society","Engineering","ENGR","17W","Friday","8am","10:50am","Boelter Hall Room 5272","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0183EW&class_id=186799204&class_no=%20001"
"186799205","186799200","DIS","1E","ENGR 183EW","Engineering and Society","Engineering","ENGR","17W","Friday","9am","11:50am","Boelter Hall Room 5252","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0183EW&class_id=186799205&class_no=%20001"
"186799206","186799200","DIS","1F","ENGR 183EW","Engineering and Society","Engineering","ENGR","17W","Friday","8am","10:50am","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0183EW&class_id=186799206&class_no=%20001"
"186799207","186799200","DIS","1G","ENGR 183EW","Engineering and Society","Engineering","ENGR","17W","Friday","8am","10:50am","Boelter Hall Room 5280","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0183EW&class_id=186799207&class_no=%20001"
"186811201","186811200","DIS","1A","ENGR 185EW","Art of Engineering Endeavors","Engineering","ENGR","17W","Tuesday","9am","11:50am","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0185EW&class_id=186811201&class_no=%20001"
"186811202","186811200","DIS","1B","ENGR 185EW","Art of Engineering Endeavors","Engineering","ENGR","17W","Wednesday","12pm","2:50pm","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0185EW&class_id=186811202&class_no=%20001"
"186811203","186811200","DIS","1C","ENGR 185EW","Art of Engineering Endeavors","Engineering","ENGR","17W","Thursday","9am","11:50am","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0185EW&class_id=186811203&class_no=%20001"
"186811204","186811200","DIS","1D","ENGR 185EW","Art of Engineering Endeavors","Engineering","ENGR","17W","Friday","8am","10:50am","Mathematical Sciences Room 3915A","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0185EW&class_id=186811204&class_no=%20001"
"186811205","186811200","DIS","1E","ENGR 185EW","Art of Engineering Endeavors","Engineering","ENGR","17W","Tuesday","12pm","2:50pm","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0185EW&class_id=186811205&class_no=%20001"
"186811206","186811200","DIS","1F","ENGR 185EW","Art of Engineering Endeavors","Engineering","ENGR","17W","Thursday","12pm","2:50pm","Boelter Hall Room 5420","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0185EW&class_id=186811206&class_no=%20001"
"186811207","186811200","DIS","1G","ENGR 185EW","Art of Engineering Endeavors","Engineering","ENGR","17W","Friday","9am","11:50am","Broad Art Center Room 2160E","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0185EW&class_id=186811207&class_no=%20001"
"186811208","186811200","DIS","1H","ENGR 185EW","Art of Engineering Endeavors","Engineering","ENGR","17W","Tuesday","8am","10:50am","Haines Hall Room A6","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGR&crs_catlg_no=0185EW&class_id=186811208&class_no=%20001"
"196031201","196031200","DIS","1A","ENGL 10B","Literatures in English, 1700 to 1850","English","ENGL","17W","Friday","1pm","1:50pm","Haines Hall Room A6","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGL&crs_catlg_no=0010B&class_id=196031201&class_no=%20001"
"196031202","196031200","DIS","1B","ENGL 10B","Literatures in English, 1700 to 1850","English","ENGL","17W","Friday","1pm","1:50pm","Slichter Hall Room 2834","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGL&crs_catlg_no=0010B&class_id=196031202&class_no=%20001"
"196031203","196031200","DIS","1C","ENGL 10B","Literatures in English, 1700 to 1850","English","ENGL","17W","Friday","2pm","2:50pm","Haines Hall Room 110","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGL&crs_catlg_no=0010B&class_id=196031203&class_no=%20001"
"196031204","196031200","DIS","1D","ENGL 10B","Literatures in English, 1700 to 1850","English","ENGL","17W","Friday","2pm","2:50pm","Slichter Hall Room 2834","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGL&crs_catlg_no=0010B&class_id=196031204&class_no=%20001"
"196031205","196031200","DIS","1E","ENGL 10B","Literatures in English, 1700 to 1850","English","ENGL","17W","Friday","2pm","2:50pm","Public Affairs Building Room 2284","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGL&crs_catlg_no=0010B&class_id=196031205&class_no=%20001"
"196031206","196031200","DIS","1F","ENGL 10B","Literatures in English, 1700 to 1850","English","ENGL","17W","Friday","2pm","2:50pm","Public Affairs Building Room 2319","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGL&crs_catlg_no=0010B&class_id=196031206&class_no=%20001"
"196031207","196031200","DIS","1G","ENGL 10B","Literatures in English, 1700 to 1850","English","ENGL","17W","Friday","3pm","3:50pm","Public Affairs Building Room 2284","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGL&crs_catlg_no=0010B&class_id=196031207&class_no=%20001"
"196031208","196031200","DIS","1H","ENGL 10B","Literatures in English, 1700 to 1850","English","ENGL","17W","Friday","3pm","3:50pm","Public Affairs Building Room 2319","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=ENGL&crs_catlg_no=0010B&class_id=196031208&class_no=%20001"
